lat,Water,Evergreen_Needleleaf_forest,Evergreen_Broadleaf_forest,Deciduous_Needleleaf_forest,Deciduous_Broadleaf_forest,Mixed_forest,Closed_shrublands,Open_shrublands,Woody_savannas,Savannas,Grasslands,Permanent_wetlands,Croplands,Urban_and_built-up,Cropland/Natural_vegetation_mosaic,Snow_and_ice,Barren_or_sparsely_vegetated
-82.5,0.13209819936842676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8679018006315732,0.0
-67.5,0.6510235461302086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005965000328317527,0.0,0.0,0.0,0.0,0.3483799538369597,0.0
-52.5,0.5564328213679146,0.0011261360869307194,0.0,0.0008039760264753695,0.0,0.0,0.0,0.22250259820423945,0.032034656429029064,0.0019925429017050274,0.07224810172210501,0.0006342512148706789,0.0,0.0,0.0,0.11211752935991191,0.00010738668681844994
-37.5,0.4059375747472939,0.08749921395531123,0.0,0.04350008537807341,0.0,0.14271011921446425,0.0,0.11831819676240685,0.03968599971622884,0.002173197967590385,0.05082626067004659,0.014770972979634289,0.056840053852889594,0.00029259847683436304,0.025127315651043185,0.012276491204051106,4.191942413206477e-05
-22.5,0.529452992277397,0.013796680433681647,0.0,0.0,0.011548335014421044,0.060244175195787265,0.0,0.019428533599684265,0.006727158489002929,0.000951511649993878,0.17205078939004767,0.0,0.09056729595514622,0.0006990106746807331,0.027830478743935638,0.0010081366736425105,0.06569490190257915
-7.5,0.6118042009611754,0.000274825458447841,0.01275422994313891,0.0,0.0001388438458651086,0.033448101959705545,0.00013655708217495007,0.03709622657647046,0.02584284660522881,0.0,0.03898764094442674,0.0005570959761626217,0.04947359126051593,0.0004610916996302154,0.005439554447584118,0.0006893612691081343,0.1828958319703653
7.5,0.7502797020691574,0.0,0.033354921877580754,0.0,9.365762235453034e-05,0.00018725462889407032,0.00022713262420180516,0.008880050480212166,0.03130631015877792,0.02704781945895036,0.025340508077350703,0.0003210902560349153,0.016233905350979988,0.0,0.04131769984984179,0.0,0.06540994754566369
22.5,0.7788494686122768,0.0,0.14034067147684365,0.0,4.8246328907806446e-05,0.0,0.0003385630958582827,0.00747483846879175,0.024011555580249516,0.02740350999491856,0.009709917883475576,0.0005053893456256967,0.0006104250711384502,4.507142736260181e-05,0.010160160150967169,0.0,0.0005021825635841804
37.5,0.7762906924318116,0.0,0.0210172228719441,0.0,0.006891481546790336,0.0,0.0,0.04995474915233346,0.03226373336496624,0.09024980365482424,0.012154132406746777,0.00070621322752502,0.002126766713420036,4.2974023741419996e-05,0.00210441245947205,0.0,0.006197818146424769
52.5,0.849040268526352,0.0,0.00852090265840998,0.0,0.002896934194361832,0.0007171722044215711,5.273987416210851e-05,0.07890910651073026,0.009665933803411117,0.0021324255250019506,0.020051412574536093,0.0007764243137493971,0.019381918076743814,0.00014665587895910595,0.0012329217185849798,0.0,0.0064751841405756416
67.5,0.9742391150745847,8.198222415210416e-05,0.0023164917674561992,0.0,0.0,0.0042660473582566425,0.0,0.012027694611232913,0.0002361906754174161,0.0,0.006207543441198597,0.0,5.7424962853080514e-05,0.0,0.0,0.0005675098848483923,0.0
82.5,0.9828353496350953,0.0,0.0,0.0,0.0,9.056280946450801e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0170740875554401,0.0
